,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
303,AL162274.2,2.3113742,0.11127947,0.9113947330695956,ITPR2,0.2049308,0.3088495,0.7574360090025937,KCTD5,0.20485401,0.2963544,0.7669594451411614,POC1A,1.5202757,0.29063684,0.7713290761187916,NME4,0.017554939,0.6414605,0.5212235686825994,MUC5B,0.13949777,0.462625,0.6436331971617719,CELSR1,1.0383049,0.2928785,0.7696150247766431
304,AC009955.4,2.3145072,0.11127947,0.9113947330695956,OLFML3,0.33306703,0.30814305,0.7579734964450203,ELF2,0.016310086,0.2962012,0.7670764415234197,AGR2,-0.041154332,0.28659496,0.7744224804441469,MYO1D,0.69962156,0.6394644,0.5225208770068404,FBXW4,0.07210542,0.46058968,0.6450930119926488,COL2A1,1.6285332,0.28967005,0.7720686672282183
305,BCL2A1,1.5587443,0.11102406,0.9115972667362504,MSN,0.26255944,0.30431834,0.7608853676949531,UTP15,0.41534612,0.2927748,0.7696942885322046,VTI1A,0.44714087,0.286126,0.7747816167204474,IGFBP4,0.022613743,0.6391202,0.5227447184102578,SLCO2B1,0.20362596,0.45900887,0.6462277936688193,LAT2,1.3258286,0.2889874,0.7725910139446438
306,LINC01224,22.339455,0.108837105,0.9133316950369876,SLC25A40,0.2287665,0.30339262,0.7615906630147106,RBM7,0.34236947,0.29202268,0.7702692905336281,ITGA1,1.0599096,0.28588036,0.7749697549598501,AC025159.1,0.807739,0.63619494,0.5246493568178631,NOP16,0.25176364,0.45454308,0.6494379948522375,HIST1H2AE,2.294955,0.28794068,0.7733921456588371
307,BX649601.1,22.312649,0.108837105,0.9133316950369876,NDRG1,-0.06157661,0.30217457,0.7625189849210687,EPSTI1,0.606648,0.28941807,0.7722614753233557,CD9,-0.074542716,0.28320065,0.7770230281273006,PSMB8,0.15731859,0.6347323,0.5256030070962002,RNF135,0.8612529,0.45025513,0.6525264953126455,LUM,0.5720978,0.2858017,0.7750299909876093
308,DNAI2,22.508833,0.108837105,0.9133316950369876,ALDH6A1,-0.042227164,0.30083472,0.763540533685683,DNALI1,0.14664297,0.2838885,0.776495837840373,TIMP3,-0.012198988,0.28302202,0.7771599685795764,ANP32E,0.069328934,0.63371706,0.5262654734484506,SNX14,0.18704332,0.44723183,0.6547076920327849,SASH3,2.1000283,0.28134176,0.7784482860991817
309,LINC02022,22.342857,0.108837105,0.9133316950369876,BICC1,1.3907356,0.29917815,0.764804108615886,YJU2,-0.021794617,0.28321993,0.7770082542049233,DNAJC27-AS1,0.40459192,0.2828657,0.7772797971553297,UBL3,0.05495512,0.6335106,0.5264002645571972,SYPL1,0.14370926,0.4469947,0.6548788913043715,NAT1,0.9009831,0.2797034,0.7797050675474642
310,AC127537.1,22.339485,0.108837105,0.9133316950369876,PCDHB2,1.1803142,0.29810628,0.765622049906344,PYGL,0.3226089,0.27710536,0.7816992043526959,HIRIP3,0.10312929,0.28031996,0.7792320349644131,DNPEP,0.2527153,0.6313941,0.5277828894990279,TMC7,1.3102576,0.44140255,0.6589215843019179,LMCD1,0.73266524,0.278998,0.7802463593700854
311,AC007262.2,22.395958,0.108837105,0.9133316950369876,AC091729.3,0.9843155,0.2977165,0.7659195479587091,HMGN5,-0.096783325,0.27267614,0.7851021822270516,SALL1,0.3651819,0.2790471,0.7802086772157154,GOLGA4,0.106117286,0.62320334,0.5331509243473489,FAM107B,0.1832507,0.43476316,0.6637343542600733,C15orf48,1.3681897,0.27590334,0.7826223146291333
312,CXCR6,22.530287,0.108837105,0.9133316950369876,SPHK1,0.8467828,0.2968395,0.7665890447442473,HLA-DPB1,-0.06318671,0.27085152,0.7865052374135055,BEST4,2.1053178,0.27828786,0.780791401045825,RSAD1,0.34496334,0.6229624,0.5333092246754405,FZR1,0.16395259,0.42553514,0.6704466003483203,MSN,0.7857065,0.27239907,0.7853151836549606
313,LINC02282,22.375992,0.108837105,0.9133316950369876,TERF1,0.100587234,0.2945252,0.7683566080628375,TGM2,-0.009995822,0.26977903,0.7873302578947106,FTCDNL1,1.1309223,0.2733527,0.7845820935388061,UNK,0.58572316,0.62192994,0.5339879236861369,TPRKB,0.21988131,0.42124718,0.6735745824286837,ANO4,0.80437297,0.26714268,0.7893592995858045
314,AL137067.1,22.40664,0.108837105,0.9133316950369876,GMPR2,0.048332788,0.2933315,0.7692687702986064,ZNF736,0.36125693,0.26952833,0.7875231542858192,CLEC3A,0.23948203,0.27250415,0.7852344047825169,PIGX,0.08716033,0.6143759,0.5389669730757154,THBD,1.4433253,0.4155958,0.6777058069305695,MTMR11,1.6767879,0.2667331,0.7896746655008995
315,LINC02251,22.33603,0.108837105,0.9133316950369876,SP4,0.51954263,0.29318535,0.7693804856103283,CCL19,0.2853483,0.2687483,0.7881233597015905,SHISA2,0.6383975,0.27196822,0.7856464685860725,KAT8,0.1695262,0.6141006,0.539148880384396,WDFY3,0.1422187,0.41527963,0.6779372123340139,CASZ1,1.5707098,0.26655105,0.7898148391926574
