,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
316,CU634019.6,22.432291,0.108837105,0.9133316950369876,VWF,0.09121442,0.28911704,0.7724918083460603,NEU1,-0.069066145,0.26866475,0.7881876748937524,ARL13B,0.6843951,0.27187887,0.7857151517294193,CAPG,0.18109573,0.6097643,0.5420179721339291,B3GAT2,0.18976602,0.41112998,0.6809772175795906,PDIA4,0.43962115,0.26595944,0.7902704506433176
317,PNPLA3,22.352905,0.108837105,0.9133316950369876,IGSF1,0.58428025,0.28741178,0.7737970474256033,COL4A2,-0.11395305,0.26784298,0.7888201844668731,AC048382.5,1.608729,0.26964578,0.7874327710946409,ABLIM1,0.088701464,0.60833603,0.5429646154180587,PRKDC,0.082493104,0.41075456,0.6812525223915272,IGHM,0.69418,0.26482168,0.7911468278931787
318,ASB4,22.238167,0.108837105,0.9133316950369876,AC027601.4,1.8184017,0.28529236,0.7754201645877092,AP001999.1,0.22866166,0.26743907,0.7891311300655877,ZNF681,1.066103,0.2653136,0.7907678959289585,MSI2,0.047146514,0.6060302,0.5444946671245952,MED12,0.49363828,0.40810668,0.6831953496343021,NNMT,0.8487972,0.26200008,0.7933213808352684
319,AC147651.4,22.49906,0.108837105,0.9133316950369876,ALDH7A1,-0.025909798,0.28512183,0.7755508029827987,TTR,1.018199,0.26611587,0.7901499799691477,ILKAP,0.14698242,0.26006582,0.7948129983629098,METTL7A,0.044000685,0.60284686,0.546610566865083,ADD3,-0.022373768,0.4031864,0.6868110981987614,ZNF595,1.1580031,0.25731257,0.7969374916996439
320,CHMP4C,0.9357287,0.10588391,0.9156744599382614,CES3,1.6942576,0.28500003,0.7756441200112918,SH3BP5-AS1,0.8907847,0.26578158,0.7904074304701073,IL10RA,0.7679562,0.25923958,0.7954503928616085,CHST10,0.11879999,0.60243386,0.5468853601029504,CELSR1,0.52246225,0.4029888,0.6869564594416506,BTN3A2,0.9850238,0.25701675,0.7971658400445147
321,EGLN3,0.5314847,0.10567639,0.915839114448533,TGFB3,0.80623454,0.28334346,0.7769135526868677,CAPG,-0.04053965,0.26555872,0.7905790768470766,TPH2,23.73519,0.258391,0.796105156361569,MRPL39,0.38412026,0.60140145,0.5475726422733183,HRK,0.4080927,0.40211937,0.6875961863663472,SLC26A2,1.6627706,0.25692573,0.7972361045674756
322,ZFAND4,1.6099898,0.100871466,0.9196524948792524,ATAD2B,0.8063983,0.282028,0.7779220562895774,FABP7,-0.199308,0.26537767,0.7907185470087087,CFAP298,0.033124533,0.2563812,0.7976564839548288,AL078639.1,0.10717086,0.5994398,0.5488796540563645,ISOC2,0.05994775,0.4011116,0.6883379679178001,CDKN2B,2.317349,0.2565389,0.7975347471151653
323,AC048382.5,1.4360023,0.100807615,0.9197031836712242,LTB,0.5935316,0.28046888,0.779117804291501,MUM1,-0.05536324,0.259862,0.7949702141330961,GOLGA4,0.030239495,0.25602394,0.7979323594019103,CCND1,-0.018435087,0.5990268,0.5491550104933979,ZNF33B,0.6636344,0.3939189,0.6936409232911606,ANPEP,1.6269886,0.25651616,0.7975523152472471
324,CFAP70,1.3269751,0.10074376,0.9197538727894731,GLIS2-AS1,1.7127237,0.27766734,0.7812677263777501,OXSR1,-0.024585411,0.2557253,0.7981629730884251,ZNF33B,0.61493146,0.25446075,0.7991396107808566,SHANK3,0.041095443,0.5960155,0.5511648754367118,AP1B1,0.08977999,0.38773397,0.6982129226529712,DTL,2.1893992,0.25644788,0.7976050202587317
325,TMCO4,0.769611,0.09862065,0.9214394703865936,ULBP2,1.2060531,0.27715576,0.7816605019560264,ATP2A3,-0.006226711,0.25502887,0.7987008083293742,AC003684.1,2.2080667,0.25410348,0.7994156214903648,SLC25A33,0.0122147305,0.5952756,0.5516592809894145,ZNF736,0.780959,0.3867262,0.6989589249831264,AC066613.1,5.1953626,0.2563341,0.7976928639948269
326,FLG-AS1,2.0939646,0.09828543,0.9217056498347261,EFCC1,0.73896277,0.2748171,0.7834567552733742,GDPD2,0.9880307,0.2498475,0.8027052854601113,CYFIP1,-0.03873269,0.25012857,0.8024879233106839,PRSS8,0.20090033,0.59269446,0.5533856555424617,ZNF503,0.39999142,0.38563937,0.699763763183288,PRSS8,0.6078719,0.2536718,0.7997491365358849
327,AC016722.3,1.8342978,0.09828543,0.9217056498347261,FAM169B,3.3271806,0.2715527,0.7859659545052615,ABCB10,0.16776937,0.24777217,0.8043106898789125,MTPN,0.032483336,0.24816345,0.8040079458542274,CHMP7,0.24152529,0.58970034,0.5553915607451932,RBM7,0.6147581,0.38251728,0.7020777178067221,COL15A1,1.366384,0.24939385,0.8030561362865921
328,TPSAB1,2.0194197,0.09828543,0.9217056498347261,RPS27L,-0.0022280489,0.2705052,0.7867716181041848,DST,0.0023800633,0.24594755,0.8057228351630736,MTMR11,0.9490956,0.24557306,0.8060127438993703,CENPF,1.43994,0.5863449,0.5576437697378402,CRACR2B,0.11901058,0.37826884,0.7052308911589271,PMAIP1,1.513533,0.24884774,0.8034785617449176
329,FAM163B,2.1214023,0.09828543,0.9217056498347261,VTI1A,0.34760553,0.26821527,0.7885336302032381,TYW5,0.31873026,0.24435972,0.8069522409180065,CMC4,1.6079028,0.24541675,0.806133764032634,GLRA2,0.76683956,0.58538127,0.5582913784842588,LYL1,0.9632513,0.37413895,0.7083009304720195,LTF,0.3942525,0.24855192,0.8037073995137244
330,LILRB2,2.0502198,0.0982535,0.921731000716227,GPRC5B,-0.052156042,0.26802036,0.7886836387871948,NUDT7,0.26019266,0.24240974,0.8084626898908508,IKBKE,0.8497028,0.24499246,0.8064622706467047,ANXA2,-0.011822599,0.5792554,0.5624168483948788,GUCY1A2,0.111296885,0.37405992,0.7083597336473615,VAV1,2.1775415,0.24848366,0.8037602106197697
331,AL035420.3,1.6652713,0.098189645,0.9217817027177718,NEU1,0.03385101,0.2658766,0.7903342492072358,DNAJC27-AS1,0.06303458,0.24193618,0.8088296211967053,ACBD4,0.41072428,0.24494779,0.8064968522777693,ADAMTS4,0.28417727,0.5788596,0.5626838870013604,MPC1,0.039049868,0.37311143,0.7090655072716412,MARVELD1,1.1906244,0.24607164,0.8056267763564853
332,CCDC173,0.5988416,0.09659333,0.923049355537157,ARL13B,0.61989653,0.26580352,0.7903905366450458,ITGB1,-0.025496852,0.24176903,0.8089591364053381,SPAG17,3.2396038,0.24177681,0.8089531111966712,FLVCR1,0.69115585,0.5787564,0.5627535593101535,TYW5,0.77061313,0.37176776,0.7100657807382428,DYNLT1,0.46057084,0.24400094,0.807230089873952
333,BICC1,0.91134816,0.096178286,0.9233789774190221,DISP2,0.1432112,0.26529193,0.7907845793103082,PAX6,0.004675719,0.24157403,0.8091102440967075,ANPEP,0.8971407,0.23999034,0.8103377501628746,B3GALT6,0.053749684,0.5724412,0.567023078823751,RARRES3,-0.009690147,0.37095758,0.7106691284229099,FGD3,0.6594794,0.24295421,0.8080408647733406
334,CCDC192,3.9271867,0.095827095,0.9236578985217687,LINC00595,0.48081055,0.2642444,0.7915915953480841,IDE,0.2105411,0.24105868,0.809509634389801,HOXB2,0.3441351,0.23748927,0.8122772413191629,RAB25,0.31439397,0.57242405,0.5670347335673374,CGN,1.3262029,0.3701079,0.7113021025375407,ANKRD36C,0.91511065,0.2414524,0.8092045104748724
335,SIX3,3.527881,0.095827095,0.9236578985217687,MLC1,-0.07304853,0.26365975,0.7920421201043567,TMEM37,0.7020773,0.24027869,0.8101142113446628,CRYBA2,1.8558615,0.23735529,0.8123811752531914,CPB1,0.20617908,0.57214874,0.5672212250758766,TINCR,0.8949575,0.36364633,0.7161221350520022,WISP2,1.2065661,0.24092902,0.8096101226601042
336,LINC01356,3.3605673,0.095827095,0.9236578985217687,AL355297.3,1.3134023,0.26241732,0.7929997156451682,SRGN,-0.061593663,0.24013941,0.8102221834495029,ABHD17B,0.0101500815,0.2371543,0.8125370823512647,GDPD5,0.35854086,0.57103026,0.567979148841357,GEMIN7,0.10471392,0.36208525,0.7172883149779625,MAD2L2,0.5690665,0.23958649,0.8106508397315295
337,AP001999.1,0.85262036,0.095827095,0.9236578985217687,ZNF571,0.9367269,0.26122364,0.7939200525653496,HTR1D,0.83535826,0.23286879,0.8158632950720317,GP2,1.4394962,0.23704265,0.8126237006171229,YJU2,0.39908862,0.5698257,0.5687959159547095,VPS18,0.29768202,0.36084038,0.7182187792489239,AL157392.5,2.064643,0.23264624,0.8160361175597839
338,BORCS8-MEF2B,3.6676,0.095827095,0.9236578985217687,UFSP1,1.4380398,0.2556206,0.7982438168058272,GOLT1A,0.87590635,0.23275736,0.815949823982608,LINC00951,0.5958021,0.23545715,0.8138539269198742,CARNS1,0.06666222,0.56975687,0.5688426053071025,TELO2,0.19033448,0.3593979,0.7192974590487169,TBC1D10C,1.8630129,0.2324642,0.8161774889419253
339,AC005332.1,3.9602973,0.095827095,0.9236578985217687,HTR1D,1.3396648,0.25513336,0.7986200910021034,XPNPEP3,0.2582022,0.22998561,0.8181029502580252,ARSD,0.42032793,0.23494355,0.8142525495781574,TPRKB,0.22606072,0.5676576,0.5702675094250642,SPINT1-AS1,0.67526495,0.35682905,0.7212197794427253,CYFIP1,0.43372282,0.2310534,0.8172733196638043
340,CLEC18B,3.556495,0.095827095,0.9236578985217687,AC073508.3,1.2073677,0.2547923,0.7988835107762992,TCEA1,-0.08562837,0.22303535,0.8235079987148277,LMOD3,3.6146443,0.23369302,0.8152233100431259,SEC11A,0.037669063,0.5647151,0.572267569846743,IRF6,0.562697,0.34841123,0.7275313698524171,GLRA2,0.937047,0.22914198,0.8187585630730673
341,GDF5,3.7309458,0.095827095,0.9236578985217687,CASP7,0.9788941,0.25396404,0.7995233397609766,AC104964.4,0.23895703,0.2193861,0.8263492927993487,HSPA6,1.007224,0.23275512,0.8159515666726738,CCDC50,0.18602644,0.55824506,0.5766770445448874,ROM1,0.41339725,0.34809506,0.7277687885604641,RNF217,1.1156929,0.22902821,0.818846990987136
342,CYP4F12,3.5343845,0.095827095,0.9236578985217687,MPRIP,0.009993085,0.25364736,0.7997680158496252,AL391834.2,2.2699015,0.2176172,0.8277273824162679,ABCD1,0.9859862,0.23244248,0.8161943542449468,CLEC3A,0.21420233,0.55160296,0.5812203885918474,AC010931.2,2.1189947,0.3473442,0.7283327626797858,ACACB,0.72561646,0.22627486,0.820987646560013
343,SLC2A9,3.0494318,0.09579517,0.9236832554516304,CD22,0.8894835,0.25352556,0.7998621272724705,CLDN10,-0.17042837,0.21746399,0.8278467695364828,TMEM198,0.14275928,0.2317279,0.8167493634854455,SYPL1,0.05374509,0.55034685,0.5820815014330851,KCNK2,0.97522104,0.34596097,0.7293720472686491,VCL,0.6335758,0.22254306,0.8238911575048686
344,AC026471.1,2.9797328,0.09579517,0.9236832554516304,GPM6B,0.082409464,0.25208825,0.8009728611887265,SAP30,-0.07773437,0.21733864,0.8279444528664013,SCRT2,0.7807252,0.23105797,0.8172697681280106,CNN3,-0.02436282,0.5503124,0.5821051019511698,LIMK2,0.8737704,0.3454472,0.7297581940510609,ADCY4,1.7668059,0.21649025,0.8286056230824085
345,HMCN1,2.9190521,0.09579517,0.9236832554516304,STON2,-0.023865962,0.25182027,0.8011799917566493,KIF16B,-0.0036712848,0.21253334,0.8316909731657336,C17orf113,1.5758384,0.22933848,0.8186058415930046,CHM,0.12110898,0.5502608,0.5821405035663672,ID4,0.066302314,0.3447951,0.7302484021191011,NGFR,3.0483422,0.21639924,0.8286765648926023
346,BAALC-AS1,0.97774434,0.09311335,0.9258135118894167,HEPN1,0.0055204015,0.25104073,0.8017826328353688,EHD4,0.24707152,0.2082016,0.8350715543973066,SLC7A6OS,0.26499388,0.2279763,0.8196646636868663,ATR,0.48772088,0.5472667,0.5841955157316264,PAWR,0.70169306,0.34082332,0.7332365885527321,AF117829.1,2.9554372,0.21635373,0.8287120363217311
347,MAP4K1,0.90964377,0.09306546,0.9258515570631365,AL356270.1,2.7588851,0.24943288,0.8030259521807837,AC003102.1,0.5718072,0.20654413,0.8363658988577606,MRPS28,0.059653718,0.22764134,0.8199250802241734,C11orf96,0.16414888,0.54139894,0.5882326290542337,CCDC50,0.28384456,0.33896586,0.7346354405512119,ITPR3,1.2072756,0.21084704,0.8330066364494888
348,MARVELD1,0.65990514,0.09217152,0.9265617646699061,PLIN4,0.076496884,0.24862897,0.8036477990648305,ACBD4,-0.01624796,0.20605664,0.8367466729005655,PSMB8-AS1,0.6910031,0.22735104,0.8201507906203623,EHD4,0.5843054,0.5389383,0.5899294406231341,GRN,0.050228525,0.33876827,0.7347843065163214,ZNF610,1.7624494,0.20852603,0.8348182589763211
349,NKAIN3,1.0544887,0.09055924,0.9278428223894002,LAT2,0.8926328,0.24641211,0.8053632318240362,AC124016.1,0.4828233,0.20498414,0.8375845103168409,BTN3A2,0.28471372,0.22730638,0.8201855166194117,C6orf132,1.2732666,0.5356861,0.5921755331974183,PLCB3,0.51364434,0.3383138,0.7351267360470441,SCNN1B,2.606599,0.20832124,0.8349781502649981
350,CCR1,1.100951,0.09039961,0.9279696700184552,INTS12,0.52087736,0.24534023,0.8061930085036497,PRKCSH,-0.08157428,0.20377238,0.8385313793907883,ALG1L,1.0290332,0.224716,0.8222002256191437,CALD1,0.03991758,0.5336728,0.5935679352143299,ILKAP,0.1513007,0.33481625,0.7377637117421968,AL161908.1,2.606527,0.2081847,0.8350847482476151
351,AVPR1A,1.0348741,0.08776568,0.9300629177857852,CCL19,0.45175034,0.24278231,0.8081740375363546,PPP1R1B,-0.082835875,0.20102848,0.8406763013925626,NUDT7,0.37802094,0.2207411,0.8252940385649349,MMP11,0.18401147,0.52439797,0.6000017737482086,PRSS8,0.120889425,0.33471742,0.7378382475899088,AC027020.2,2.7474265,0.20809369,0.8351558152527632
352,FAM83G,1.06662,0.08770183,0.9301136692526516,ACBD4,0.2063658,0.24180788,0.8089290396289716,FBXO2,0.02191873,0.20094492,0.8407416476160622,KCTD5,0.5272555,0.22016048,0.8257461722496857,SORBS3,0.14720885,0.51770425,0.6046646310446013,ENO3,1.4113324,0.33471742,0.7378382475899088,CPPED1,0.8470482,0.20502177,0.8375551124101801
353,IL18,0.789797,0.08577028,0.9316490345123281,LINC02123,2.258897,0.24158862,0.8090989396435071,PSEN1,-0.08110238,0.19846566,0.8426807495239402,BACE2,0.41127515,0.21433212,0.8302880769020207,STX2,0.4684463,0.5156049,0.6061303596829742,TAGLN,0.014255312,0.33206958,0.7398367244871332,RBM47,0.93429875,0.20483974,0.8376973406374567
354,MIRLET7BHG,0.7556932,0.08561064,0.9317759356614758,CD300A,1.3260231,0.24080907,0.8097031014161347,AL391834.1,0.56453776,0.19829851,0.8428115099616298,AC015917.2,1.2984829,0.21272428,0.8315420214727344,CUEDC1,0.118221976,0.4998601,0.6171735922483064,EVA1B,0.19958222,0.33163485,0.7401650009714597,CEP78,0.59174585,0.20443015,0.8380173735333498
355,ST7-AS1,1.8614885,0.08529138,0.9320297431593657,AC008397.2,1.0462857,0.23998079,0.8103451475729759,EBF1,0.39409184,0.19765781,0.8433127984247577,CLEC7A,1.4044693,0.21263497,0.8316116976658627,CLPP,0.049780574,0.49815655,0.6183737015815731,MYO1E,0.6500053,0.32400742,0.7459324119148689,HGH1,0.91102517,0.20392954,0.8384085612379786
356,EDC4,1.7550721,0.08529138,0.9320297431593657,PGBD1,0.5749969,0.2365946,0.8129713063825756,SLC25A43,0.29159206,0.19508106,0.8453294889407669,EME2,0.53779036,0.21216601,0.8319775193794092,SETD3,0.08297312,0.49731338,0.6189680722005619,ZNF641,0.36523837,0.32359245,0.7462465950099978,IL18,1.2374291,0.20078936,0.8408632822332288
357,EBF1,1.1103878,0.0835035,0.9334511921422324,FAT1,0.0255239,0.23596121,0.8134627648609483,DAG1,-0.08383795,0.19491392,0.8454603364567699,RTCA-AS1,2.3870835,0.20899503,0.8344521223043637,NUDT12,0.5295275,0.49450856,0.62094705636124,LINC01588,2.529525,0.321241,0.7480277614001111,P2RY6,2.6393445,0.20033427,0.8412191678982848
358,PRSS35,0.8161297,0.08299268,0.9338573596013654,AL163051.1,2.093409,0.23437774,0.8146917320210287,PIR,0.24586792,0.19168253,0.8479908887556847,PLD2,0.67583936,0.2081018,0.8351494907249501,FLNA,-0.0012344426,0.4901895,0.6239998164395975,LRP4,0.08848017,0.31932425,0.7494806326505166,PARP14,0.7943272,0.19721684,0.84365785340325
359,FMO4,2.331422,0.082817085,0.9339969836477572,FAM215B,2.2178392,0.23437774,0.8146917320210287,MCL1,-0.060125936,0.19084683,0.8486455981420533,ZFYVE9,0.18052126,0.20769984,0.8354633488416823,VWA1,-0.009031248,0.48922586,0.6246817946392614,KIF20B,1.3090352,0.31499678,0.7527640903395858,HOXB2,0.78829885,0.19557849,0.8449401010091528
360,LINC00354,2.7768722,0.082817085,0.9339969836477572,AC087379.2,1.3040456,0.2332815,0.8155428228507097,IBA57,0.26825973,0.18691902,0.8517241237983922,NRBP2,0.04603149,0.20682892,0.8361434645906038,AC093627.4,1.6046363,0.48870966,0.6250472724161868,SLC7A6OS,0.49879393,0.3136531,0.7537845252967179,SLC26A6,1.4945462,0.19416767,0.8460445880774145
361,LINC01727,2.622664,0.082817085,0.9339969836477572,MAP4K1,1.1984397,0.23303789,0.8157319837418588,PERM1,1.5325261,0.18382692,0.8541492368830523,HNRNPAB,-0.02888706,0.20423853,0.8381670952107034,RBL1,1.6530231,0.48554346,0.6272908839400186,MMP11,0.16147983,0.30976036,0.7567432076880659,CHST3,1.0239862,0.19409941,0.8460980386922139
362,LILRB5,2.4776301,0.082817085,0.9339969836477572,BAALC-AS1,1.1671171,0.23279428,0.8159211553720706,SP5,0.7282505,0.18203016,0.8555590590553072,PADI2,-0.10524651,0.20412688,0.8382543448363096,ARID2,0.47133246,0.48480356,0.6278157044235577,LRRC41,0.09024927,0.30817953,0.7579457245455578,HELLS,1.7675346,0.1930527,0.8469177033289061
363,TNMD,2.6545706,0.082817085,0.9339969836477572,AP001347.1,2.1505456,0.22716688,0.820293984550456,HELLS,0.6209715,0.18193266,0.8556355742649151,FRY,0.085719325,0.20392591,0.8384113991729468,RPS5,0.11104603,0.48413247,0.6282918672393873,ZNFX1,0.15978585,0.30464247,0.7606384743307737,PLEKHH2,1.4671657,0.19255207,0.8473097754604307
364,DPEP2,3.0559072,0.082817085,0.9339969836477572,CLPP,-0.04037592,0.22509618,0.8219044490292814,ADH1B,-0.1945502,0.18176551,0.8557667463529764,SLC25A43,0.5510472,0.2021841,0.8397728057428393,BAG3,0.20655599,0.4830656,0.6290491624691605,TRIM14,0.8174416,0.30067068,0.7636656353566422,LMNB1,2.7426305,0.1924383,0.8473988880374295
365,ARMC12,2.6952522,0.082817085,0.9339969836477572,TMEM273,0.66368437,0.22336654,0.8232502363180393,CYTH1,-0.082615644,0.18125017,0.8561712186959115,SLC31A2,0.07470752,0.20198312,0.8399299220485557,LRRC75A,0.022732947,0.48196432,0.6298312960466697,AC122719.2,23.770086,0.29561207,0.7675263555626531,LINC00115,2.400505,0.19230178,0.8475058257051877
366,SIRPB1,2.7942216,0.082817085,0.9339969836477572,EHBP1L1,0.025640074,0.22290368,0.8236104649396258,SYNE2,-0.12637188,0.18040054,0.8568381339206181,AP001029.2,2.5561159,0.20091124,0.8407679832502379,ANXA5,0.030649684,0.48196432,0.6298312960466697,TMEM235,0.37272006,0.29523662,0.7678131248149644,KANK1,0.62509394,0.1910275,0.8485040457391935
367,EVA1A,2.6637185,0.082817085,0.9339969836477572,MYO10,-0.060758006,0.22285497,0.8236483859052901,IGHA2,-0.10984073,0.17911913,0.8578441664846344,IGSF1,0.33112606,0.2008889,0.8407854447811807,S100A10,-0.039268233,0.48160297,0.6300880241431701,XPNPEP3,0.30908197,0.2945055,0.7683716613946412,RUNX1,0.9372466,0.19095924,0.8485575286844751
368,PRICKLE3,2.8612304,0.082817085,0.9339969836477572,EIF1B,0.022876047,0.22234339,0.8240465808876218,MRM2,-0.043163523,0.17519131,0.8609293069576928,DIO1,1.8989639,0.2005986,0.8410124518087135,ALDH3B2,1.190489,0.4798306,0.6313478608792544,ARID2,0.24301642,0.2936163,0.7690511247114494,SIX5,0.97037417,0.19059516,0.848842782828328
369,AL031055.1,2.6566758,0.082817085,0.9339969836477572,MCL1,-0.082683384,0.22209978,0.8242362134723283,AC097468.3,0.93793595,0.17481525,0.861224804876215,AC016831.7,1.6274496,0.20037529,0.8411870815959062,OPALIN,0.09001832,0.4754771,0.6344469549743902,GMPR2,0.08260216,0.2874116,0.773797179745715,CENPF,1.4122992,0.18577112,0.852624254943071
370,AL450311.2,2.55151,0.082817085,0.9339969836477572,HCK,0.5766838,0.22209978,0.8242362134723283,ACE,-0.034107827,0.17407705,0.8618049128045256,LUM,0.018276561,0.19678001,0.8439996910242917,PLD2,0.6549961,0.47267228,0.6364470088165641,CLPP,0.042581882,0.28634456,0.7746142386413603,CCDC110,2.3485484,0.18445133,0.853659402876368
371,FAM225B,2.775,0.082817085,0.9339969836477572,KBTBD3,0.20572989,0.22012652,0.825772614626055,SFTA1P,0.42907646,0.17255884,0.8629981989424844,NR3C2,0.18328473,0.19595377,0.844646349667036,KCTD7,0.4318086,0.46754444,0.640110399942803,TRIM59,0.9090975,0.285732,0.7750834038373298,NEK8,2.2232928,0.1842693,0.8538022017191966
372,AC010240.3,2.3111978,0.08278516,0.9340223700562849,C1orf167,1.9518559,0.21976112,0.8260572067791556,SLC15A2,-0.11444473,0.17193207,0.863490931344489,CEP70,0.49335408,0.1926488,0.8472340270516778,TMC7,1.143271,0.46733797,0.6402581037324749,B3GALT6,0.18885197,0.28375596,0.776597398883693,MYO10,0.2872858,0.18363215,0.8543020353616132
373,AL606491.1,2.3294282,0.08278516,0.9340223700562849,CA3-AS1,1.659208,0.2192739,0.8264366985290472,WNT5B,0.17631884,0.16896532,0.8658239153991891,KCNQ1,2.0418077,0.19255947,0.8473039872743371,MYO10,0.06792965,0.46680453,0.6406397378188327,AC124016.1,0.86002773,0.28367692,0.7766579763839453,KCTD18,0.79610896,0.17939974,0.8576238340894218
374,KRT37,2.3135486,0.08275323,0.9340477565319097,PGM2,0.26544067,0.21893284,0.8267023668834218,CD93,0.025674596,0.16799034,0.8665908801329796,RLBP1,0.3442865,0.1925148,0.8473389678369507,PFKFB2,-0.034592383,0.46176273,0.6442514779692032,LRRC25,1.8891536,0.28310388,0.7770972038602905,AEBP1,0.3383326,0.17744282,0.8591605760336675
375,AC147067.1,2.1148982,0.08275323,0.9340477565319097,TTR,1.0660572,0.21827509,0.8272147832766606,Z93930.2,0.5732587,0.16574787,0.8683553746219722,S100A2,2.1213017,0.1925148,0.8473389678369507,STRN3,0.15658331,0.45833844,0.6467093076713086,JAK2,0.7924634,0.28284702,0.7772941220764851,GNLY,2.371478,0.17646436,0.8599291475047419
376,FAM30A,2.0783386,0.08275323,0.9340477565319097,NBPF15,0.9714103,0.21744682,0.8278601529957776,ACSF2,-0.08459819,0.16407646,0.869670952930078,CST7,1.5670595,0.19220218,0.8475838401929418,MYRF,0.021609034,0.4542775,0.6496291229137532,ELF2,0.19146214,0.28053507,0.7790670284590836,AC097468.3,2.3079648,0.17637333,0.8600006492833057
377,BDKRB1,2.0806684,0.08275323,0.9340477565319097,JAK2,0.7494511,0.21698396,0.8282208514381213,OAS2,0.062665306,0.16266969,0.8707785111428152,P2RY6,1.6095997,0.19220218,0.8475838401929418,ZSCAN29,0.61494315,0.4536752,0.6500626063665369,ZIC1,0.57443917,0.2771956,0.781629921626038,HBA1,0.2656616,0.17635058,0.860018524907322
378,ECT2L,2.3961527,0.08275323,0.9340477565319097,HMOX1,0.6476296,0.21681343,0.8283537494740869,KCNK15,0.33989027,0.16201505,0.8712939960722572,PER3,0.3248334,0.19173323,0.8479511763094209,S100A4,0.064313754,0.45278043,0.6507068576228383,KDM3B,0.06041689,0.2768399,0.7819030328230417,FAM225A,23.260023,0.17621405,0.8601257801574822
379,IFT74-AS1,1.9991955,0.08272131,0.9340731430746061,STK17B,0.74596334,0.2166429,0.8284866524237336,AC092171.2,1.9999977,0.15890902,0.8737405490220969,MYO7A,0.70072716,0.19072834,0.8487384362535046,PER3,0.24779056,0.45260835,0.6508307820378496,TMEM65,0.056169804,0.27626687,0.7823431018617811,LINC02246,23.452732,0.17621405,0.8601257801574822
380,JCHAIN,0.3678345,0.07989582,0.9363201146606146,SRGN,-0.007517693,0.21661854,0.8285056389602995,AC134312.6,1.5274206,0.1588533,0.8737844444758343,KLHL1,0.5198726,0.1901924,0.8491583699744224,KDM3B,0.03601186,0.44892594,0.6534850731284094,PSAT1,-0.016651973,0.2739747,0.7841040734240562,AC004951.1,23.60355,0.17621405,0.8601257801574822
381,COL15A1,0.6197992,0.07590502,0.939494663446277,AKAP13,0.04206515,0.21625312,0.8287904490259693,TPSAB1,1.3579149,0.15871403,0.8738941848095265,ALPL,0.34084025,0.18894187,0.8501383815935204,ERBIN,0.07364029,0.44708475,0.6548138672849926,ERCC6,0.5050784,0.27383637,0.784210374427119,SMIM6,1.5545318,0.1756907,0.8605369491708909
